TEMP_ID,:LABEL,NAME_WESTERN,FAMILY_NAME_WESTERN,GIVEN_NAME_WESTERN,ALT_NAME_WESTERN,CHINESE_NAME_HANZI,CHINESE_ALT_NAME_HANZI,FAMILY_NAME_HANZI,GIVEN_NAME_HANZI,ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,CHRISTIAN_TRADITION,GENDER,GENDER_SERVED,NATIONALITY,BIRTH_DATE,BIRTH_PLACE,DEATH_DATE,DEATH_PLACE,DEGREES,TITLES,OCCUPATION,NOTES,SOURCE
EDCPT_7000,Person,,Abbey,K.J. {Miss},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1916_01
EDCPT_7001,Person,,Abbey,Katherine J. {Miss},,,,,,,,,,F,,U.S.A.,,,,,B.A.,,,"Teacher of History, Cottey College, Neveda, Missouri, U.S.A.",EDC_1918_1; EDC_1917_1
EDCPT_7002,Person,,Abel,Edith F. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_1; EDC_1918_1
EDCPT_7003,Person,,Abel,F.,,,,,,,,,,M,,,,,,,B.S.,,,,EDC_1920_1
EDCPT_7004,Person,,Abel,M.,,,,,,,,,,U,,,,,,,,,,,EDC_1918_1; EDC_1917_1
EDCPT_7005,Person,,Achilles,Paul,,,,,,,,,,U,,,,,,,B. A,,,,EDC_1914_1
EDCPT_7006,Person,,Adams,E.L. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_01
EDCPT_7007,Person,,Adams,Evelyn L. {Miss},,,,,,,,,,F,,,,,,,B.Pd.,,,,EDC_1920_1: EDC_1917_1
EDCPT_7008,Person,,Adams,Frances W. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_1; EDC_1918_1; EDC_1917_1
EDCPT_7009,Person,,Adams,George,,,,,,,,,,M,,,,,,,D.Sc.,,,,EDC_1918_1; EDC_1917_1
EDCPT_7010,Person,,Adams,George Irving,,,,,,,,,,U,,,,,,,B. A.;M. Sc.,,,,EDC_1914_1
EDCPT_7011,Person,,Adams,George J.,,,,,,,,,,M,,,,,,,,,,,EDC_1920_1
EDCPT_7012,Person,,Adams,Jean {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1918_1; EDC_1917_1
EDCPT_7013,Person,,Adams,Jean {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_01
EDCPT_7014,Person,,Adams,Walter A,,,,,,,,,,,,,,,,,LL. B.,,,,EDC_1916_01
EDCPT_7015,Person,,Adelina,Outeiro da Silva {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_1
EDCPT_7016,Person,,Adlam,Edith Mary {Miss},,,,,,,,,,F,,,,,,,British Board of Education Certificate,,,,EDC_1920_1
EDCPT_7017,Person,,Adolph,W.H.,,,,,,,,,,U,,,,,,,Ph.D.,,,,EDC_1918_1
EDCPT_7018,Person,,Adolph,William H,,,,,,,,,,,,,,,,,Ph. D.,,,,EDC_1916_01
EDCPT_7019,Person,,Adolph,William Henry,,,,,,,,,,M,,,,,,,Ph.D.,,,,EDC_1920_1; EDC_1917_1
EDCPT_7020,Person,,Adon,,,,,,,,,,,M,,,,,,,,,,,EDC_1920_1
EDCPT_7021,Person,,Ai,Joseph,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_1
EDCPT_7022,Person,,Ai,Tseng-choh,,,,,,,,,,,,,,,,,,,,,EDC_1920_1
EDCPT_7023,Person,,Aiken,E.A. {Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1918_1
EDCPT_7024,Person,,Aiken,Edwin E.,,,,,,,,,,M,,,,,,,"B.A., B.D.",Rev.,,,EDC_1918_1;EDC_1920_1
EDCPT_7025,Person,,,Aimar {Brother},,,,,,,,,,M,,,,,,,,,,,EDC_1920_1; EDC_1917_1
EDCPT_7026,Person,,Aitchison,G.L.,,,,,,,,,,M,,,,,,,,,,,EDC_1918_1;EDC_1920_1
EDCPT_7027,Person,,Albertson,W.B.,,,,,,,,,,M,,U.S.A,,,,,B.A.; B.D.,Rev.,,,EDC_1918_1; EDC_1917_1
EDCPT_7028,Person,,Alboin,{Rev. Brother},,,,,,,,,,M,,,,,,,,,,,EDC_1920_1
EDCPT_7029,Person,,Aldag,,,,,,,,,,,M,,,,,,,,,,,EDC_1920_1
EDCPT_7030,Person,,Alexander,G. Small,,,,,,,,,,,,,,,,,M.E.,,,,EDC_1916_01
EDCPT_7031,Person,,Alexis,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_1
EDCPT_7032,Person,,Alexis,L. {Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_1
EDCPT_7033,Person,,Alexius,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_2
EDCPT_7034,Person,,Alfred,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_2
EDCPT_7035,Person,,Alix,{Sister},,,,,,,,,,F,,,,,,,,Rev.,,,EDC_1920_2
EDCPT_7036,Person,,Allan,C. W.,,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1917_1
EDCPT_7037,Person,,Allan,A.S.,,,,,,,,,,M,,,,,,,,,,,EDC_1918_1
EDCPT_7038,Person,,Allan,Chn,,,,,,,,,,,,,,,,,B.A.,,,,EDC_1916_01
EDCPT_7039,Person,,Allan,H. {Mrs.},,,,,,,,,,F,,,,,,,,,Librarian,,EDC_1920_2
EDCPT_7040,Person,,Allan,James Cyril D,,,,,,,,,,U,,,,,,,Ch.B.; M.D.,,,,EDC_1914_1
EDCPT_7041,Person,,Allemande,A.,,,,,,,,,,F,,,,,,,,,,,EDC_1917_1
EDCPT_7042,Person,,Allen,{Miss.},,,,,,,,,,,,,,,,,,,,,EDC_1917_1
EDCPT_7043,Person,,Allen,{Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_2
EDCPT_7044,Person,,Allen,E. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_2
EDCPT_7045,Person,,Allen;,M. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_2
EDCPT_7046,Person,,Allgood,Roy,,,,,,,,,,M,,,,,,,B.S.,,,,EDC_1920_2
EDCPT_7047,Person,,Allison,Andrew,,,,,,,,,,M,,,,,,,B.Sc.; M.A.,,,,EDC_1918_1
EDCPT_7048,Person,,Allison,Andrew,,,,,,,,,,,,,,,,,B.Sc M.A.,,,,EDC_1916_01
EDCPT_7049,Person,,Allison,J.,,,,,,,,,,M,,,,,,,"B.Sc., M.A.",,,,EDC_1920_2; EDC_1917_1
EDCPT_7050,Person,,Alliston,F.M. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_2; EDC_1917_1
EDCPT_7051,Person,,Allyn,Harriet {Miss},,,,,,,,,,F,,USA,1883,,1957,,M.Sc. Ph. D.,,,"Instructor in Biology, Lake Erie College",EDC_1916_02
EDCPT_7052,Person,,Allyn,Harriet M. {Miss},,,,,,,,,,F,,,,,,,"B.A., M.Sc., Ph.D",,,,EDC_1918_2;EDC_1920_2; EDC_1917_1
EDCPT_7053,Person,,Alonso,Severiano,,,,,,,,,,M,,,,,,,,Rev. Fr.,,,EDC_1917_1
EDCPT_7054,Person,,Alphonse,L. {Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_2
EDCPT_7055,Person,,Alphonse-Louis,{Rev. Brother},,,,,,,,,,M,,,,,,,,,,,EDC_1920_2
EDCPT_7056,Person,,Alsop,G.F.,,,,,,,,,,,,,,,,,M.D.,,,,EDC_1916_02
EDCPT_7057,Person,,Alsup,Alice {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_2
EDCPT_7058,Person,,Althaus,{Miss},,,,,,,,,,F,,U.S.A,,,,,B.A.,,,,EDC_1918_2
EDCPT_7059,Person,,Althaus,C. P.,,,,,,,,,,U,,,,,,,B. A.,Rev,,,EDC_1914_1
EDCPT_7060,Person,,Althaus,C.P.,,,,,,,,,,M,,U.S.A,,,,,B.A.,,,,EDC_1918_2; EDC_1917_2
EDCPT_7061,Person,,Althaus,C.P.,,,,,,,,,,,,,,,,,B.A.,,,,EDC_1916_02
EDCPT_7062,Person,,Althaus,C.P. {Mrs.},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1917_2
EDCPT_7063,Person,,Alty,H.J.,,,,,,,,,,M,,,,,,,,,,,EDC_1920_2; EDC_1917_2
EDCPT_7064,Person,,Alty,H.J.,,,,,,,,,,,,,,,,,,,,,EDC_1916_02
EDCPT_7065,Person,,Alty,H.J. {Mrs.},,,,,,,,,,F,,,,,,,,,"""Visiting teacher""",,EDC_1918_2;EDC_1920_2
EDCPT_7066,Person,,Alty,Herbert J.,,,,,,,,,,U,,,,,,,,,,,EDC_1914_1
EDCPT_7067,Person,,Alvarez,H.J.,,,,,,,,,,M,,,,,,,,Br.,,,EDC_1918_3; EDC_1917_2
EDCPT_7068,Person,,Amateur,{Brother},,,,,,,,,,M,,,,,,,,Br.,,,EDC_1918_2;EDC_1920_2; EDC_1917_2
EDCPT_7069,Person,,Amour,Mary D. {Sister},,,,,,,,,,F,,,,,,,,,,,EDC_1918_2;EDC_1920_2; EDC_1917_2
EDCPT_7070,Person,,Amour,Mary D. {SIster},,,,,,,,,,F,,,,,,,,,,,EDC_1916_02
EDCPT_7071,Person,,An,Pun-bang,,,,,,,,,,,,,,,,,,,,,EDC_1920_2
EDCPT_7072,Person,,Ancell,{Rev.},,,,,,,,,,M,,,,,,,"B.D., M.A., D.D.",Rev.,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7073,Person,,Ancell,B. L.,,,,,,,,,,U,,,,,,,M.A.,Rev,,,EDC_1914_1
EDCPT_7074,Person,,Ancell,B.L.,,,,,,,,,,,,,,,,,M.A.,Rev.,,16 YEARS,EDC_1916_02
EDCPT_7075,Person,,Anderson,,,,,,,,,,,,,,,,,,P.H.,Rev.,,,EDC_1917_2
EDCPT_7076,Person,,Anderson,A. Ross {Mrs.},,,,,,,,,,F,,,,,,,M.D.,,,,EDC_1918_2;EDC_1920_3
EDCPT_7077,Person,,Anderson,A.S.M.,,,,,,,,,,M,,,,,,,M.A.,Rev.,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7078,Person,,Anderson,A.S.M.,,,,,,,,,,,,,,,,,M.A.,Rev.,,,EDC_1916_02
EDCPT_7079,Person,,Anderson,Elam J.,,,,,,,,,,M,,,,,,,"B.A., M.A.",,"Director of Schools, East China Mission of the ABFMS",,EDC_1918_2;EDC_1920_3
EDCPT_7080,Person,,Anderson,Florence {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1918_2;EDC_1920_3
EDCPT_7081,Person,,Anderson,Henry J.P.,,,,,,,,,,M,,,,,,,M.A.,,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7082,Person,,Anderson,Henry J.P.,,,,,,,,,,,,,,,,,M.A.,,,"31.5 years in Scotland, 11 years in above college",EDC_1916_02
EDCPT_7083,Person,,Anderson,J.A.,,,,,,,,,,M,,,,,,,M.D.,,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7084,Person,,Anderson,M. R. {Miss.},,,,,,,,,,,,,,,,,,,,,EDC_1917_2
