:START_ID,:TYPE,REL_TYPE,:END_ID,CORP_CHCD_ID,START_MONTH,START_YEAR,END_YEAR,startend,NOTE,SOURCE,duplicates_strict,duplicates
EDCPT_10021,RELATED_TO,Married to,EDCPT_10022,,,,,-,,EDC_1920_94,FALSE,FALSE
EDCPT_10026,RELATED_TO,Married to,EDCPT_10025,,,,,-,,EDC_1918_80,FALSE,FALSE
EDCPT_10030,RELATED_TO,Married to,EDCPT_10029,,,,,-,,,FALSE,FALSE
EDCPT_10048,RELATED_TO,Married to,EDCPT_10047,,,1916,,1916-,,EDC_1916_69,FALSE,FALSE
EDCPT_10101,RELATED_TO,Married to,EDCPT_10100,,,,,-,,EDC_1920_97,FALSE,FALSE
EDCPT_10119,RELATED_TO,Married to,EDCPT_10118,,,,,-,,EDC_1920_97,FALSE,FALSE
EDCPT_10124,RELATED_TO,Married to,EDCPT_10125,,,,,-,,EDC_1920_98,FALSE,FALSE
EDCPT_10157,RELATED_TO,Married to,EDCPT_10158,,,,,-,,EDC_1920_99,FALSE,FALSE
EDCPT_10181,RELATED_TO,Married to,EDCPT_10183,,,1920,,1920-,,EDC_1920_100,FALSE,FALSE
EDCPT_10187,RELATED_TO,Married to,EDCPT_10189,,,1920,,1920-,,EDC_1920_100,FALSE,FALSE
EDCPT_10199,RELATED_TO,Married to,EDCPT_10201,,,1920,,1920-,,EDC_1920_100,FALSE,FALSE
EDCPT_10219,RELATED_TO,Married to,EDCPT_10218,,,,,-,,EDC_1920_100,TRUE,TRUE
EDCPT_10271,RELATED_TO,Married to,EDCPT_10270,,,,,-,,EDC_1920_102,FALSE,FALSE
EDCPT_10290,RELATED_TO,Married to,EDCPT_10287,,,,,-,,EDC_1920_102,FALSE,FALSE
EDCPT_10293,RELATED_TO,Married to,EDCPT_10292,,,1916,,1916-,,EDC_1916_75,FALSE,FALSE
EDCPT_10299,RELATED_TO,Daughter of,EDCPT_10300,,,,,-,,,FALSE,FALSE
EDCPT_10323,RELATED_TO,Married to,EDCPT_10324,,,,,-,,EDC_1920_104,FALSE,FALSE
EDCPT_10325,RELATED_TO,Married to,EDCPT_10326,,,,,-,,EDC_1920_104,FALSE,FALSE
EDCPT_10359,RELATED_TO,Married to,EDCPT_10358,,,,,-,,EDC_1920_105,FALSE,FALSE
EDCPT_10360,RELATED_TO,Daughter of,EDCPT_10358,,,,,-,,EDC_1920_105,FALSE,FALSE
EDCPT_10374,RELATED_TO,Married to,EDCPT_10376,,,1916,,1916-,,EDC_1916_77,FALSE,FALSE
EDCPT_10395,RELATED_TO,Married to,EDCPT_10396,,,1920,,1920-,,EDC_1920_106,FALSE,FALSE
EDCPT_10416,RELATED_TO,Married to,EDCPT_10415,,,1916,,1916-,,EDC_1920_107; EDC_1916_78,FALSE,FALSE
EDCPT_10442,RELATED_TO,Married to,EDCPT_10443,,,1920,,1920-,,EDC_1920_122,FALSE,FALSE
EDCPT_10446,RELATED_TO,Married to,EDCPT_10445,,,1920,,1920-,,EDC_1920_108,FALSE,FALSE
EDCPT_10480,RELATED_TO,Married to,EDCPT_10481,,,1916,,1916-,,EDC_1916_79,FALSE,FALSE
EDCPT_10513,RELATED_TO,Married to,EDCPT_10514,,,1920,,1920-,,EDC_1920_110,FALSE,FALSE
